id,source_url,in_reply_to_user_id,source,in_reply_to_status_id,in_reply_to_user_id_str,favorite_count,id_str,lang,in_reply_to_screen_name,in_reply_to_status_id_str,retweet_count,text,user,author
1.33171E+18,http://www.socialflow.com,,SocialFlow,,,1162,1331709923265310729,en,,,274,"President Trump pardons his former top security adviser Michael Flynn, who had pleaded guilty to lying to the FBI

https://t.co/SOckiXKEmF",BBCBreaking,BBCBreaking
1.33165E+18,https://about.twitter.com/products/tweetdeck,5402612,TweetDeck,1.33164E+18,5402612,1352,1331646763778891778,en,BBCBreaking,1331638794303451137,253,"Diego Maradona was one of football's most gifted players

The Argentine boasted a rare combination of flair, flambo… https://t.co/Ogw9zZd0mq",BBCBreaking,BBCBreaking
1.33164E+18,http://www.socialflow.com,,SocialFlow,,,9836,1331638794303451137,en,,,3594,"Diego Maradona, Argentina football legend and one of the greatest players of all time, dies at 60 https://t.co/BsYfOpDcE9",BBCBreaking,BBCBreaking
1.33163E+18,http://www.socialflow.com,,SocialFlow,,,1038,1331630017873391626,en,,,242,"Iran releases British-Australian academic Kylie Moore-Gilbert in prisoner swap deal, Iranian state media say… https://t.co/eTV4SHBwPW",BBCBreaking,BBCBreaking
1.33159E+18,https://about.twitter.com/products/tweetdeck,5402612,TweetDeck,1.33159E+18,5402612,442,1331589594341642241,en,BBCBreaking,1331587534753853440,109,"Number of unemployed people in the UK expected to peak at 2.6 million next year, Chancellor Rishi Sunak says

https://t.co/r2wrHYNllR",BBCBreaking,BBCBreaking
1.33159E+18,http://www.socialflow.com,,SocialFlow,,,885,1331587534753853440,en,,,249,"UK government set to borrow £394bn this year, the highest amount ever in peacetime history, to help deal with coron… https://t.co/BprdpObAr0",BBCBreaking,BBCBreaking
1.3313E+18,https://about.twitter.com/products/tweetdeck,5402612,TweetDeck,1.33129E+18,5402612,434,1331301309404897281,en,BBCBreaking,1331293061574516738,100,“All the governments agreed that we should balance the need to protect public health with also allowing people to b… https://t.co/z5vvpFaLTm,BBCBreaking,BBCBreaking
1.33129E+18,http://www.socialflow.com,,SocialFlow,,,2971,1331293061574516738,en,,,755,"Up to three UK households can meet indoors during a five-day Christmas period of 23-27 December, government leaders… https://t.co/ur6vtDxUhj",BBCBreaking,BBCBreaking
1.33118E+18,http://www.socialflow.com,,SocialFlow,,,1157,1331179999756480517,en,,,334,Harry Dunn's parents lose High Court battle against UK Foreign Office over whether their son's alleged killer had d… https://t.co/d1TMJabwjV,BBCBreaking,BBCBreaking
1.33103E+18,http://www.socialflow.com,,SocialFlow,,,7269,1331029597660569600,en,,,1179,US President Donald Trump accepts that the formal transition to Joe Biden's White House can finally begin https://t.co/Pz4p4uLx3n,BBCBreaking,BBCBreaking
1.33089E+18,https://about.twitter.com/products/tweetdeck,,TweetDeck,,,0,1330888768748986369,en,,,1117,"RT @BBCSport: A maximum of 4,000 fans are to be allowed at outdoor events in the lowest-risk areas when the national lockdown in England en…",BBCBreaking,BBCBreaking
1.33077E+18,http://www.socialflow.com,,SocialFlow,,,10981,1330769353470570497,en,,,2573,"Covid-19 vaccine developed by the University of Oxford is 70% effective, large scale trial shows https://t.co/g1uPngvDtT",BBCBreaking,BBCBreaking
1.33028E+18,http://www.socialflow.com,,SocialFlow,,,2441,1330277402992373769,en,,,840,England to enter tougher three-tier system of Covid restrictions when national lockdown ends on 2 December https://t.co/xFDKCK0D1Q,BBCBreaking,BBCBreaking
1.32977E+18,http://www.socialflow.com,,SocialFlow,,,1337,1329765936069554176,en,,,209,"Coronavirus infection rates are levelling off in England and Scotland and decreasing in Wales and Northern Ireland,… https://t.co/2SpH861VfN",BBCBreaking,BBCBreaking
1.32975E+18,http://www.socialflow.com,,SocialFlow,,,3398,1329752894107750400,en,,,824,UK PM's adviser on ministerial code resigns as Boris Johnson backs Home Secretary Priti Patel after bullying inquir… https://t.co/d2D6Dx4FEM,BBCBreaking,BBCBreaking
1.32949E+18,http://www.socialflow.com,,SocialFlow,,,2204,1329485313685729280,en,,,613,"Draft report says UK Home Secretary Priti Patel broke rules on ministerial behaviour, sources tell BBC https://t.co/EHz0WNFd9f",BBCBreaking,BBCBreaking
1.32932E+18,http://www.socialflow.com,,SocialFlow,,,3331,1329321120647049216,en,,,743,"Oxford coronavirus vaccine shows ""encouraging"" immune response from people in their 60s and 70s in trial results, r… https://t.co/6uT0Kz0Eah",BBCBreaking,BBCBreaking
1.32903E+18,http://www.socialflow.com,,SocialFlow,,,5399,1329030340661432320,en,,,1079,"Coronavirus vaccine by Pfizer and BioNTech 94% effective in adults aged over 65, latest trial suggests https://t.co/oujgkJ4YLp",BBCBreaking,BBCBreaking
1.32877E+18,http://www.socialflow.com,,SocialFlow,,,3262,1328770140851286025,en,,,533,"UK's Labour party reinstates former leader Jeremy Corbyn following his suspension last month, BBC understands https://t.co/Jk3VGotty4",BBCBreaking,BBCBreaking
1.32869E+18,http://www.socialflow.com,,SocialFlow,,,3883,1328689849130504192,en,,,2432,"Businessman who acted as a go-between to secure PPE for NHS staff was paid £21m in UK taxpayer cash, court document… https://t.co/HKMz8IQ5OK",BBCBreaking,BBCBreaking
1.32831E+18,http://www.socialflow.com,,SocialFlow,,,16001,1328307210347220992,en,,,3458,"Covid-19 vaccine developed in US nearly 95% effective, early data suggests, adding to growing confidence vaccines c… https://t.co/FimAXomP4D",BBCBreaking,BBCBreaking
1.32813E+18,http://www.socialflow.com,,SocialFlow,,,2744,1328134065376157699,en,,,328,Four astronauts take off from Florida on the first “routine” mission to the space station aboard a SpaceX rocket https://t.co/qttOT54gnx,BBCBreaking,BBCBreaking
1.32808E+18,http://www.socialflow.com,,SocialFlow,,,5645,1328077100016865282,en,,,1450,"PM Boris Johnson self-isolating after contact with someone who tested positive for Covid-19, Downing Street says https://t.co/alVzcSBGOX",BBCBreaking,BBCBreaking
1.32806E+18,https://about.twitter.com/products/tweetdeck,,TweetDeck,,,0,1328063735915810817,en,,,114,"RT @BBCSport: Dustin Johnson wins The Masters! ??????

A stunning display to claim the green jacket with a record 20 under par! ???

?? Highligh…",BBCBreaking,BBCBreaking
